السؤال,خيار 1,خيار 2,خيار 3,خيار 4,الإجابة,التفسير,رابط الصورة,اسم الملف,Detailed,Subject,Source
A 25-year-old male sustains a fracture to the surgical neck of the humerus. Which nerve is most likely at risk of injury?,Radial nerve,Axillary nerve,Median nerve,Ulnar nerve,Axillary nerve,The axillary nerve wraps around the surgical neck of the humerus and is highly susceptible to injury in fractures of this region.,,,,Anatomy,مصدر2
Which of the following muscles is innervated by the thoracodorsal nerve?,Trapezius,Latissimus dorsi,Rhomboid major,Levator scapulae,Latissimus dorsi,"The latissimus dorsi is innervated by the thoracodorsal nerve (C6, C7, C8).",,,,Anatomy,مصدر2
A patient presents with a winged scapula after a radical mastectomy. Which nerve was most likely damaged?,Long thoracic nerve,Accessory nerve,Dorsal scapular nerve,Suprascapular nerve,Long thoracic nerve,"Damage to the long thoracic nerve paralyzes the serratus anterior, causing winging of the scapula.",,,,Anatomy,مصدر2
The recurrent laryngeal nerve is a branch of which cranial nerve?,Glossopharyngeal nerve (CN IX),Vagus nerve (CN X),Accessory nerve (CN XI),Hypoglossal nerve (CN XII),Vagus nerve (CN X),The recurrent laryngeal nerve is a branch of the vagus nerve (CN X).,,,,Anatomy,مصدر2
A 45-year-old woman complains of numbness in the palmar aspect of her lateral three and a half fingers. Which nerve is compressed?,Radial nerve,Median nerve,Ulnar nerve,Musculocutaneous nerve,Median nerve,"Carpal tunnel syndrome involves compression of the median nerve, affecting the lateral 3.5 digits.",,,,Anatomy,مصدر2
Which coronary artery typically supplies the AV node in right-dominant individuals?,Left anterior descending (LAD),Left circumflex (LCx),Right coronary artery (RCA),Obtuse marginal artery,Right coronary artery (RCA),"In right-dominant hearts, the RCA supplies the AV nodal artery.",,,,Anatomy,مصدر2
The portal vein is formed by the union of which two veins?,Superior mesenteric and splenic veins,Inferior mesenteric and splenic veins,Superior and inferior mesenteric veins,Hepatic veins and inferior vena cava,Superior mesenteric and splenic veins,The portal vein is formed by the confluence of the superior mesenteric vein and the splenic vein.,,,,Anatomy,مصدر2
Which structure passes through the foramen spinosum?,Mandibular nerve (V3),Middle meningeal artery,Internal carotid artery,Maxillary nerve (V2),Middle meningeal artery,The middle meningeal artery passes through the foramen spinosum.,,,,Anatomy,مصدر2
A 60-year-old male has difficulty extending his knee. Which nerve is most likely compromised?,Sciatic nerve,Obturator nerve,Femoral nerve,Tibial nerve,Femoral nerve,"The femoral nerve innervates the quadriceps femoris, which extends the knee.",,,,Anatomy,مصدر2
Where is the primary visual cortex located?,Frontal lobe,Parietal lobe,Temporal lobe,Occipital lobe,Occipital lobe,The primary visual cortex is located in the occipital lobe at the calcarine fissure.,,,,Anatomy,مصدر2
Which of the following structures is found in the anterior mediastinum?,Thymus,Esophagus,Descending aorta,Thoracic duct,Thymus,The thymus gland (or its remnants in adults) is located in the anterior mediastinum.,,,,Anatomy,مصدر2
The superficial perineal pouch contains which of the following muscles?,Deep transverse perineal muscle,Sphincter urethrae,Bulbospongiosus,Levator ani,Bulbospongiosus,"The bulbospongiosus, ischiocavernosus, and superficial transverse perineal muscles are in the superficial pouch.",,,,Anatomy,مصدر2
Which cranial nerve is responsible for the afferent limb of the corneal reflex?,Oculomotor (CN III),Trigeminal (CN V),Facial (CN VII),Optic (CN II),Trigeminal (CN V),"The ophthalmic branch (V1) of the trigeminal nerve senses the stimulus (afferent), while CN VII provides the motor response (efferent).",,,,Anatomy,مصدر2
The left testicular vein drains directly into which structure?,Inferior vena cava,Left renal vein,Left internal iliac vein,Inferior mesenteric vein,Left renal vein,"Unlike the right testicular vein which drains into the IVC, the left drains into the left renal vein at a 90-degree angle.",,,,Anatomy,مصدر2
Which ligament contains the ovarian vessels?,Round ligament of the uterus,Broad ligament,Suspensory ligament of the ovary,Ovarian ligament,Suspensory ligament of the ovary,The suspensory ligament of the ovary (infundibulopelvic ligament) contains the ovarian artery and vein.,,,,Anatomy,مصدر2
A lesion in the optic chiasm most commonly produces which visual field defect?,Bitemporal hemianopsia,Homonymous hemianopsia,Right upper quadrantanopsia,Central scotoma,Bitemporal hemianopsia,"Compression of the optic chiasm (e.g., pituitary adenoma) affects decussating fibers, causing bitemporal hemianopsia.",,,,Anatomy,مصدر2
Which muscle is the primary abductor of the vocal folds?,Lateral cricoarytenoid,Posterior cricoarytenoid,Thyroarytenoid,Cricothyroid,Posterior cricoarytenoid,"The posterior cricoarytenoid is the only muscle that abducts the vocal cords, opening the airway.",,,,Anatomy,مصدر2
The great saphenous vein typically drains into which vein?,Popliteal vein,Femoral vein,External iliac vein,Small saphenous vein,Femoral vein,The great saphenous vein empties into the femoral vein at the saphenofemoral junction.,,,,Anatomy,مصدر2
Which branch of the internal iliac artery supplies the majority of the uterus?,Ovarian artery,Uterine artery,Internal pudendal artery,Vaginal artery,Uterine artery,"The uterine artery, a branch of the internal iliac, is the primary blood supply to the uterus.",,,,Anatomy,مصدر2
"In a lumbar puncture, the needle must pass through which ligament just before entering the epidural space?",Supraspinous ligament,Interspinous ligament,Ligamentum flavum,Posterior longitudinal ligament,Ligamentum flavum,"The needle pops through the ligamentum flavum to enter the epidural space, then pierces the dura.",,,,Anatomy,مصدر2
